grocery_id,grocery_name,grocery_address,grocery_ratings,latitude,longitude,zipcode
324,Dollar General,"2205 W PECAN STREET, Pflugerville, TX 78660",3,30.445314,-97.650769,78660
325,Wag-A-Bag,"1200 S Interstate 35, Round Rock, TX 78681",4,30.498183,-97.681734,78681
326,La Hacienda Market-Cameron,"7517 Cameron Rd, Austin, TX 78752",1,30.32908,-97.68926,78752
327,Wag-A-Bag No 7,"1490 E Old Settlers Blvd, Round Rock, TX 78664",5,30.53919983,-97.66899109,78664
328,Dollar General,"13903 FM 812 RD, Del Valle, TX 78617",1,30.12093,-97.63596,78617
329,Dollar General,"116 W LAKE DR, Taylor, TX 76574",1,30.58397,-97.41272,76574
330,Dollar General,"19301 FM 969, Webberville, TX 78653",1,30.2251,-97.512775,78653
331,Wag-A-Bag,"2704 Sunrise Rd, Round Rock, TX 78664",4.5,30.53961629,-97.66915646,78664
332,Dollar General,"4010 F M RD 1327 BLDG B, Creedmoor, TX 78610",2,30.0966,-97.74659,78610
333,Dollar General,"2802 S BAGDAD RD, Leander, TX 78641",1.5,30.53988,-97.84845,78641
334,Dollar General,"3100 WINDY HILL RD, Buda, TX 78610",1.5,30.04159,-97.803773,78610
335,Dollar General,"100 W 2ND ST, Elgin, TX 78621",3.5,30.349568,-97.371538,78621
336,Dollar General,"12750 La Poynor St, Manor, TX 78653",1.5,30.33577161,-97.55967064,78653
337,Dollar General,"770 WINDY HILL ROAD, Kyle, TX 78640",1,30.031059,-97.836095,78640
338,Dollar General,"17545 CAMINO REAL, Mustang Ridge, TX 78610",1,30.030912,-97.676214,78610
339,Park N Sak II,"1410 W Whitestone Blvd, Cedar Park, TX 78613",2,30.51467,-97.8492799,78613
340,Wag A Bag,"1200 S Interstate 35, Round Rock, TX 78681",5,30.498186,-97.681735,78681
341,Shop N Carry,"8514 S Congress Ave, Austin, TX 78745",2.5,30.173422,-97.785505,78745
342,Dollar General,"801 E FM 150, Kyle, TX 78640",2,29.977259,-97.863857,78640
343,Wag-A-Bag,"408 Hwy 79 West, Hutto, TX 78634",1.5,30.543047,-97.550041,78634
344,Dollar General,"2132 N Mays St, Ste 910, Round Rock, TX 78664",2,30.531393,-97.690269,78664
345,Wag-A-Bag,"801 S Mays St, Round Rock, TX 78664",4,30.50217,-97.6761,78664
346,Dollar General,"1351 CHRIS KELLEY BLVD, Hutto, TX 78634",2.5,30.521302,-97.569248,78634
