city,state,zipcode,address,price,bedrooms,bathrooms,square_foot,latitude,longitude,sale_amount,sale_transaction_date
CEDAR PARK,TX,78613,1004 WILLIAMS WAY,751547.0,5,3.0,3796.0,30.517953,-97.752031,625000.0,2021-08-12
CEDAR PARK,TX,78613,804 WILLIAMS WAY,527120.0,3,2.0,2188.0,30.519603,-97.752417,438000.0,2020-12-03
CEDAR PARK,TX,78613,1610 PURPLE SAGE DR,852806.0,4,2.0,4059.0,30.476377,-97.85262,685000.0,2023-04-28
CEDAR PARK,TX,78613,2210 MACAW DR,499386.0,3,2.0,2327.0,30.465293,-97.841686,187500.0,2021-12-22
CEDAR PARK,TX,78613,1700 CATCHFLY CV,1172269.0,5,4.0,5387.0,30.475221,-97.853442,1171875.0,2022-05-13
CEDAR PARK,TX,78613,1708 PASEO CORTO DR,690000.0,5,4.0,4395.0,30.474692,-97.85441,686250.0,2021-03-03
CEDAR PARK,TX,78613,2310 MACAW DR,598811.0,4,2.0,2481.0,30.464389,-97.84365,594000.0,2021-10-12
CEDAR PARK,TX,78613,1712 PASEO CORTO DR,1092794.0,5,4.0,5388.0,30.474122,-97.854513,785000.0,2022-03-15
CEDAR PARK,TX,78613,2319 NARROW VALLEY DR,689069.0,4,3.0,3401.0,30.476503,-97.850446,443750.0,2022-12-16
CEDAR PARK,TX,78613,2400 NARROW VALLEY DR,689168.0,4,3.0,3520.0,30.475818,-97.850297,650000.0,2022-04-01
CEDAR PARK,TX,78613,2405 BEELEIGH CT,607136.0,3,2.0,2614.0,30.471534,-97.847923,370000.0,2020-02-24
CEDAR PARK,TX,78613,1814 CHULA VISTA DR,779769.0,5,3.0,4097.0,30.474231,-97.850509,596250.0,2021-01-28
CEDAR PARK,TX,78613,1815 CHULA VISTA DR,578640.0,4,2.0,2684.0,30.474352,-97.851337,690353.0,2022-06-15
CEDAR PARK,TX,78613,2502 GRIST LN,567847.0,3,2.0,2950.0,30.466508,-97.842939,653750.0,2022-02-28
CEDAR PARK,TX,78613,1900 INDIAN BLANKET DR,899242.0,4,3.0,4100.0,30.472877,-97.853103,793750.0,2022-04-07
CEDAR PARK,TX,78613,1900 JOJOBA DR,704595.0,4,2.0,3411.0,30.47567,-97.849016,809375.0,2022-04-05
CEDAR PARK,TX,78613,1901 TOSCA CV,761225.0,4,2.0,3362.0,30.472829,-97.852673,625000.0,2022-05-26
CEDAR PARK,TX,78613,2704 ZAMBIA DR,847955.0,4,3.0,3662.0,30.471463,-97.853543,809000.0,2022-02-02
CEDAR PARK,TX,78613,2705 DAGAMA CT,655670.0,4,2.0,3303.0,30.465976,-97.839175,731500.0,2022-08-04
CEDAR PARK,TX,78613,2001 DAGAMA DR,612268.0,3,2.0,3439.0,30.465424,-97.838788,605000.0,2021-03-30
CEDAR PARK,TX,78613,2801 PRIMWOOD PATH,552541.0,3,2.0,2876.0,30.463774,-97.843449,682813.0,2022-01-12
CEDAR PARK,TX,78613,2811 CORTEZ DR,618644.0,6,5.0,3631.0,30.464269,-97.840103,462500.0,2022-01-26
CEDAR PARK,TX,78613,2901 WANAKAH RIDGE CV,967523.0,4,3.0,4596.0,30.461016,-97.844422,701250.0,2022-07-13
CEDAR PARK,TX,78613,2902 CASHELL WOOD DR,707205.0,5,4.0,3996.0,30.461489,-97.844545,625476.0,2021-10-21
CEDAR PARK,TX,78613,2913 CASHELL WOOD DR,722318.0,4,3.0,3919.0,30.460925,-97.845349,436500.0,2020-02-18
CEDAR PARK,TX,78613,1513 SHADY CREEK TRL,654896.0,3,2.0,3256.0,30.479313,-97.850641,649000.0,2022-08-23
CEDAR PARK,TX,78613,2109 SIMBRAH DR,588418.0,4,3.0,3098.0,30.475161,-97.846767,354844.0,2020-03-18
CEDAR PARK,TX,78613,2126 SIMBRAH DR,543397.0,4,2.0,2984.0,30.473937,-97.84781,561500.0,2021-10-21
CEDAR PARK,TX,78613,2013 TATTLER DR,652760.0,3,2.0,2614.0,30.470818,-97.849927,450757.0,2022-03-18
CEDAR PARK,TX,78613,1809 CHULA VISTA DR,596814.0,3,2.0,2677.0,30.474818,-97.851577,743750.0,2022-05-06
