property_id,rest_id
964,2
964,9
964,10
964,21
964,23
964,29
964,31
964,33
964,35
964,36
964,38
964,39
964,48
964,57
964,59
964,78
964,80
964,82
964,88
964,89
964,91
964,95
964,99
964,101
964,133
964,134
964,135
964,138
964,140
964,145
964,155
964,160
964,161
964,162
964,170
964,194
964,197
964,201
964,204
964,205
964,216
964,217
964,232
964,245
964,249
964,271
964,278
964,285
964,293
964,303
964,325
964,328
964,340
964,341
964,343
964,345
964,352
964,357
964,363
964,383
964,396
964,418
964,421
964,437
964,448
964,480
964,495
964,496
964,515
964,516
964,520
964,527
964,550
964,569
964,570
964,576
964,579
964,592
964,598
964,601
964,620
964,629
964,635
964,638
964,648
964,653
964,673
964,678
964,680
964,681
964,682
964,690
964,696
964,710
964,714
964,729
964,734
964,740
964,748
964,752
964,782
964,794
964,827
964,828
964,858
964,860
964,866
964,870
964,874
964,878
964,888
964,894
964,895
964,914
964,916
964,921
964,925
964,947
964,962
964,967
964,996
965,2
965,9
965,10
965,21
965,23
965,29
965,33
965,35
965,36
965,38
965,39
965,57
965,59
965,78
965,80
965,82
965,88
965,89
965,91
965,95
965,99
965,101
965,110
965,133
965,134
965,135
965,138
965,140
965,145
965,155
965,160
965,161
965,162
965,170
965,194
965,197
965,201
965,205
965,216
965,217
965,245
965,266
965,271
965,278
965,285
965,293
965,303
965,325
965,328
965,340
965,341
965,345
965,353
965,358
965,363
965,383
965,396
965,418
965,421
965,437
965,480
965,495
965,496
965,515
965,516
965,520
965,527
965,550
965,569
965,570
965,576
965,579
965,581
965,592
965,598
965,601
965,620
965,635
965,638
965,648
965,678
965,680
965,682
965,690
965,696
965,710
965,714
965,729
965,734
965,740
965,748
965,752
965,782
965,816
965,827
965,828
965,858
965,860
965,866
965,870
965,874
965,878
965,894
965,895
965,914
965,921
965,925
965,962
965,967
965,973
965,996
966,41
966,59
966,110
966,210
966,236
966,253
966,266
966,303
966,321
966,322
966,353
966,358
966,359
966,386
966,401
966,428
966,466
966,470
966,511
966,543
966,557
966,569
966,581
966,589
966,598
966,633
966,655
966,657
966,697
966,709
966,721
966,737
966,738
966,752
966,763
966,772
966,776
966,782
966,816
966,873
966,881
966,901
966,925
966,926
966,928
966,938
966,963
966,973
966,999
967,4
967,6
967,9
967,10
967,18
967,22
967,23
967,30
967,31
967,34
967,35
967,38
967,48
967,51
967,57
967,58
967,59
967,67
967,69
967,75
967,81
967,86
967,88
967,89
967,91
967,95
967,101
967,115
967,117
967,128
967,131
967,134
967,138
967,149
967,152
967,153
967,160
967,171
967,176
967,178
967,189
967,192
967,193
967,197
967,201
967,204
967,205
967,209
967,214
967,216
967,219
967,226
967,227
967,231
967,232
967,242
967,245
967,247
967,249
967,260
967,269
967,271
967,274
967,277
967,278
967,284
967,285
967,292
967,293
967,295
967,300
967,320
967,333
967,340
967,343
967,345
967,352
967,355
967,362
967,373
967,378
967,383
967,392
967,394
967,396
967,405
967,406
967,421
967,429
967,437
967,443
967,448
967,453
967,458
967,459
967,478
967,487
967,488
967,495
967,496
967,498
967,499
967,503
967,516
967,517
967,518
967,520
967,537
967,540
967,545
967,550
967,565
967,570
967,576
967,577
