rest_id,rest_name,rest_address,rest_ratings,latitude,longitude
63,Las Perlas,"405 E 7th St, Austin, TX 78701",4.5,30.26766,-97.73864
64,Boteco,"1720 Barton Springs Rd, Austin, TX 78704",4.5,30.263624,-97.763001
65,Jewboy Burgers,"5111 Airport Blvd, Austin, TX 78751",4.5,30.3127408,-97.71508227214272
66,Gus's World Famous Fried Chicken - Austin,"117 San Jacinto Blvd, Austin, TX 78701",4.5,30.2634862,-97.7417305
67,Gabriela's Downtown,"900 E 7th St, Austin, TX 78702",4.0,30.2666,-97.73302
68,Emmer & Rye,"51 Rainey St, Austin, TX 78701",4.0,30.256941357994524,-97.73933237013148
69,Summer House on Music Lane,"1101 Music Ln, Austin, TX 78704",4.0,30.252617768292083,-97.74769522897344
70,Uncle Nicky's,"4222 Duval St, Austin, TX 78751",4.0,30.30489,-97.72621
71,North Italia,"500 W 2nd St, Ste 120, Austin, TX 78701",4.0,30.26579507333844,-97.748924
72,La Popular - Austin,"5 SW Pkwy Building, Ste 100, Austin, TX 78735",4.0,30.255240230184153,-97.86736997742383
73,Lutie’s Garden Restaurant,"4100 Red River St, Austin, TX 78751",4.0,30.300784,-97.722215
74,Velvet Taco,"522 Congress Ave, Ste 100, Austin, TX 78701",4.5,30.267959079138866,-97.7431730552339
75,Baretto Bistro,"1206B W 38th St, Austin, TX 78705",4.5,30.306547964744833,-97.74520127279808
76,Bar Peached,"1315 W 6th St, Austin, TX 78703",4.5,30.27354,-97.76001
77,Ember Kitchen,"800 W Cesar Chavez St, Ste PP110, Austin, TX 78701",4.5,30.266578,-97.752637
78,Oseyo,"1628 E Cesar Chavez St, Austin, TX 78702",4.0,30.25831,-97.72757
79,The Peached Tortilla,"5520 Burnet Rd, Ste 100, Austin, TX 78756",4.0,30.33075,-97.74021
80,Olamaie,"1610 San Antonio St, Austin, TX 78701",4.0,30.2799,-97.74367
81,Bird Bird Biscuit,"2701 Manor Rd, Austin, TX 78722",4.5,30.284804,-97.713964
82,Wu Chow,"500 W 5th St, Austin, TX 78701",4.0,30.268592660232244,-97.74788224956195
83,Terry Black's Barbecue,"1003 Barton Springs Rd, Austin, TX 78704",4.5,30.2596915716907,-97.7548013627529
84,Arlo Grey by Kristen Kish,"111 E Cesar Chavez St, Austin, TX 78701",4.0,30.262724161102867,-97.74410642632972
85,CARVE American Grille - Central Austin ,"2613 Perseverance Dr, Austin, TX 78731",4.0,30.3181159,-97.7528127
86,Olive & June,"3411 Glenview Ave, Austin, TX 78703",4.0,30.30726,-97.75113
87,Bar 508 Mezcalerita,"508 E 8th St, Austin, TX 78701",4.5,30.2686,-97.73665
88,Soupleaf Hot Pot,"6929 Airport Blvd, Ste 127, Austin, TX 78752",4.5,30.33867074286145,-97.7182056039015
89,Tiki Tatsu-Ya,"1300 S Lamar Blvd, Austin, TX 78704",4.0,30.25382,-97.76331
90,Ezov,"2708 E Cesar Chavez St, Austin, TX 78702",4.0,30.25345964298245,-97.7135189705522
91,Nomade,"1506 South 1st St, Austin, TX 78704",4.5,30.24973495377611,-97.7553113
92,Cooper's Old Time Pit Bar-B-Que,"217 Congress Ave, Austin, TX 78701",4.0,30.26489,-97.74361
93,Austin Rotisserie,"111 Congress Ave, P400, Austin, TX 78701",4.5,30.263536,-97.7435761
94,Hopfields,"3110 Guadalupe St, Ste 400, Austin, TX 78705",4.0,30.2985538576336,-97.7409893637848
95,Proud Mary,"2043 S Lamar Blvd, Austin, TX 78704",4.5,30.248300392180276,-97.76938270254324
96,Sawyer & Co,"4827 E Cesar Chavez St, Austin, TX 78702",4.0,30.2513332366943,-97.7017822265625
97,Flo's Wine Bar & Bottle Shop,"3111 W 35th St, Austin, TX 78703",4.5,30.31326371700297,-97.7669042
98,Bufalina,"2215 E Cesar Chavez St, Austin, TX 78702",4.0,30.25518,-97.719656
99,Veracruz Fonda & Bar,"1905 Aldrich St, Ste 125, Austin, TX 78723",4.5,30.29819578727444,-97.70524985715171
100,POCHA IS BACK,"6808N N Lamar Blvd, Ste B-110, Austin, TX 78752",4.5,30.336184,-97.720611
101,Bouldin Creek Cafe,"1900 S 1st St, Austin, TX 78704",4.5,30.24646,-97.75677
102,TLC Austin,"1100 S Lamar Blvd, Ste 1150, Austin, TX 78704",4.0,30.25576,-97.76252
103,Goldy’s,"2401 Winsted Ln, Austin, TX 78703",5.0,30.29289370116596,-97.760492688529
104,El Alma,"1025 Barton Springs Rd, Austin, TX 78704",4.0,30.2601,-97.75562
105,Salt Traders Zilker,"1101 S MoPac Expy, Austin, TX 78746",4.5,30.26297,-97.784594
106,Vamonos,"4807 Airport Blvd, Austin, TX 78751",4.5,30.30854,-97.71537
107,District Kitchen - Anderson Lane,"7858 Shoal Creek Blvd, Bldg B, Austin, TX 78757",4.5,30.36068,-97.74139
108,Jack Allen's Kitchen,"3600 North Capital Of Texas Hwy, Bldg D, Austin, TX 78746",4.5,30.3352434572574,-97.8075081023773
109,Ling Kitchen,"8423 Research Blvd, Austin, TX 78758",4.5,30.35927,-97.71592
110,The Diner Bar - Austin,"500 San Jacinto Blvd, Austin, TX 78701",4.5,30.26661947438517,-97.7408417
111,House of Three Gorges,"8557 Research Blvd, Ste 144, Austin, TX 78758",4.5,30.3617280827925,-97.7153496770409
112,Juniper,"2400 E Cesar Chavez St, Ste 304, Austin, TX 78702",4.0,30.254867,-97.717182
113,Lee’s Kitchen + Cocktails,"701 S Capital Of Tx Hwy, Ste G700, West Lake Hills, TX 78746",5.0,30.289920378066597,-97.82719318462529
114,Pecan Square Cafe,"1200 W 6th St, Ste B, Austin, TX 78703",4.0,30.27311679089706,-97.75724507865488
115,Numero28,"452 W 2nd St, Austin, TX 78701",4.0,30.26566,-97.74841
116,Titaya's Thai Cuisine,"5501 N Lamar Blvd, Ste C101, Austin, TX 78751",4.0,30.3236051867619,-97.7273681944428
117,TraphouseATX,"310 Colorado St, Austin, TX 78701",4.0,30.266269,-97.745228
118,Tweedy's,"2908 Fruth St, Austin, TX 78705",5.0,30.295514,-97.74173
119,Golden Tiger,"1816 E 6th St, Austin, TX 78702",4.0,30.261993,-97.7226715
120,Jjim Korean Braised BBQ,"1100 S Lamar Blvd, Ste 2140, Austin, TX 78704",4.5,30.25576,-97.76252
121,Hold Out Brewing,"1208 W 4th St, Austin, TX 78703",4.0,30.271378,-97.758904
122,Holiday on 7th,"5020 E 7th St, Austin, TX 78702",4.5,30.2537018,-97.6976313
123,Meat & Bread,"360 Nueces St, Ste 20, Austin, TX 78701",5.0,30.26707465829323,-97.74983827055262
124,Domo Alley Gato Tatsu-Ya,"1606 E 6th St, Austin, TX 78702",4.0,30.263105516749416,-97.7262606294488
125,Uchibā,"601 W 2nd St, Austin, TX 78701",4.5,30.2658,-97.74998
126,Prim and Proper,"1007 S Congress Ave, Ste 120, Austin, TX 78704",4.5,30.254224644988437,-97.74761894020668
127,Picnik - Burnet Road,"4801 Burnet Rd, Austin, TX 78756",4.0,30.3189,-97.73897
128,Revelry Kitchen + Bar,"1410 E 6th St, Austin, TX 78702",4.0,30.2637173006037,-97.7277220894538
129,Fabrik - Austin,"1701 E Martin Luther King Jr Blvd, Ste 102, Austin, TX 78702",5.0,30.279202,-97.722964
130,RedFarm,"201 W 3rd St, Austin, TX 78701",4.0,30.26563383411864,-97.74543608944488
131,Hula Hut,"3825 Lake Austin Blvd, Austin, TX 78703",3.5,30.2947120806306,-97.7843958519819
132,Bat City Pies,"1505 Town Creek Dr, Austin, TX 78741",5.0,30.241716,-97.726887
133,Jeffrey's,"1204 W Lynn St, Austin, TX 78703",4.0,30.2803621441126,-97.7590721100569
134,Sammie’s Italian,"807 W 6th St, Austin, TX 78703",4.0,30.27019,-97.75102
135,888 Pan Asian Restaurant,"2400 E Oltorf St, Ste 1A, Austin, TX 78741",4.0,30.22965591773423,-97.73000411554916
136,Dai Due,"2406 Manor Rd, Ste A, Austin, TX 78722",4.0,30.2848871297558,-97.7167839693365
137,Industry - Eastside,"1211 E 5th St, Ste 150, Austin, TX 78702",4.0,30.2629956,-97.73012465516288
138,NADC Burger,"85 Rainey St, Austin, TX 78701",4.0,30.259519,-97.738185
139,68 Degrees Kitchen,"2401 Lake Austin Blvd, Austin, TX 78703",4.0,30.27786,-97.7729
140,ARTIPASTA,"6406 N Interstate 35 Frontage Rd, Ste 2510, Austin, TX 78752",4.5,30.32530101220533,-97.70749083201297
141,Daiboku,"609 W 29th St, Austin, TX 78705",4.5,30.295437573552423,-97.743651419878
142,Ling Wu Asian Restaurant,"7415 Southwest Pkwy, Austin, TX 78735",4.0,30.2565206,-97.8704907
143,El Alma South,"4521 Westgate Blvd, Austin, TX 78745",4.5,30.23169,-97.80013
144,Tsuke Edomae,"4600 Mueller Blvd, Ste 1035, Austin, TX 78723",5.0,30.298973,-97.70816
145,Juliet Italian Kitchen,"1500 Barton Springs Rd, Austin, TX 78704",4.0,30.261645819614227,-97.76005464342612
146,Lucky Robot,"1303 S Congress Ave, Austin, TX 78704",4.0,30.250851476015615,-97.7490062850641
147,ATX Cocina,"110 San Antonio St, Ste 170, Austin, TX 78701",4.0,30.2649458683025,-97.7492585281865
148,Choo Sando Omakase,"5222 Burnet Rd, Ste 535, Austin, TX 78758",4.5,30.32468183731174,-97.7403971
149,WU Chow - North Lamar,"3800 N Lamar Blvd, Ste 170, Austin, TX 78756",4.0,30.305832,-97.743182
150,True Food Kitchen,"222 W Ave, Ste HR100, Austin, TX 78701",4.5,30.26751023,-97.75199286
151,Justine's Brasserie,"4710 E 5th St, Austin, TX 78702",4.0,30.253236,-97.700576
152,South African Food Affair,"71 Rainey St, Austin, TX 78701",4.5,30.25812,-97.73869
153,The Grove Wine Bar & Kitchen,"800 W 6th St, Ste 100, Austin, TX 78701",4.0,30.27053,-97.750899
154,Kalimotxo,"607 W 3rd St, Ste 105, Austin, TX 78701",4.0,30.2667775234651,-97.7493870826956
155,Stella San Jac,"310 East 5th St, Austin, TX 78701",4.0,30.26656360808851,-97.74057562761148
156,Lou’s - Barton Springs,"1608 Barton Springs Rd, Austin, TX 78704",4.0,30.2624471,-97.7616614
157,Colleen's Kitchen,"1911 Aldrich St, Ste 100, Austin, TX 78723",4.0,30.2984,-97.704748
158,Jade Restaurant,"3801 N Capital Of Texas Hwy, C200, Austin, TX 78746",4.0,30.3352979,-97.804464
159,Koriente,"621 E 7th St, Austin, TX 78701",4.5,30.267,-97.73597
160,Culinary Dropout,"11721 Rock Rose, Ste 100, Austin, TX 78758",4.0,30.403437,-97.721694
161,Craft Omakase,"4400 N Lamar Blvd, Ste 102, Austin, TX 78756",5.0,30.312563,-97.738624
162,Two Hands,"1011 South Congress Ave, Ste 170, Austin, TX 78704",4.0,30.2535791926283,-97.7479241788387
163,The Grove Wine Bar & Kitchen,"6317 Bee Caves Rd, Austin, TX 78746",4.0,30.2963184857946,-97.8328549861908
164,Geraldine's,"605 Davis St, Austin, TX 78701",3.5,30.260057954004218,-97.73925847424948
165,Oakmont Food,"1106 W 38th St, Austin, TX 78705",4.0,30.306147,-97.744355
166,Jewboy Sub Shop,"6701 Burnet Rd, Ste A3, Austin, TX 78757",4.5,30.342894804361833,-97.73830716129548
167,Café No Sé,"1603 S Congress Ave, Austin, TX 78704",4.0,30.24711909150202,-97.75042802564276
168,Marufuku Ramen,"1900 Aldrich St, Ste 180, Austin, TX 78723",4.5,30.298142,-97.705115
169,Bacalar,"44 East Ave, Ste 100, Austin, TX 78701",4.0,30.25575297481797,-97.73899576584786
170,Saffron - South,"3201 Bee Cave Rd, Ste 148, Austin, TX 78746",4.5,30.273408,-97.80037
171,Lazarus Brewing,"1902 E 6th St, Austin, TX 78702",4.5,30.26169,-97.72204
172,Mama Kong Cambodian,"2211 Webberville Rd, Austin, TX 78702",5.0,30.26181,-97.71642
173,Il Brutto,"1601 E 6th St, Austin, TX 78702",4.0,30.2628204676926,-97.7263318834324
174,Bufalina Due,"6555 Burnet Rd, Austin, TX 78757",4.0,30.3413560722054,-97.7385051851856
175,De Nada Cantina,"4715 E Cesar Chavez St, Austin, TX 78702",4.5,30.251447,-97.702184
176,Old Thousand,"1000 E 11th St, Ste 150, Austin, TX 78702",4.0,30.269595539216105,-97.7296569
177,Arturo's Underground Cafe,"314 W 17th St, Austin, TX 78701",4.5,30.2797094,-97.74192
178,Devil May Care,"500 W 6th St, Austin, TX 78701",4.0,30.26955,-97.74751
179,Monk's Momo,"318 E 5th St, Austin, TX 78701",4.5,30.26653,-97.74005
180,Patrizi's,"1705 Cuernavaca, Austin, TX 78733",4.5,30.34027,-97.86307
181,Tumble 22,"2304 Lake Austin Blvd, Austin, TX 78703",4.0,30.27792537649408,-97.77173683047296
182,Spread & Co,"1601 W 38th St, Ste 1, Austin, TX 78731",4.5,30.3086982,-97.7504555
183,KAPATAD Kitchen and Cafe,"3742 Far W Blvd, Ste 113, Austin, TX 78731",4.5,30.356363863334792,-97.75849580969744
184,Chi'Lantro,"5222 Burnet Rd, Austin, TX 78756",4.0,30.3245593141276,-97.740055874205
185,Super Thai Cuisine,"2024 S Lamar Blvd, Austin, TX 78704",4.5,30.24915,-97.76841
186,Birdie's,"2944 E 12th St, Austin, TX 78702",4.0,30.27645,-97.70456
187,Yuki Handroll Bar,"6317-3 FM2244, Ste 330, Austin, TX 78746",4.5,30.295587429816702,-97.83178287848878
188,DosiROK,"5610 North Interstate  35, Austin, TX 78751",5.0,30.316166486835343,-97.7084916
189,Drop Kick,"1630 E 6th St, Ste 100, Austin, TX 78702",4.0,30.262616,-97.724536
190,Revelry on the Boulevard,"6215 N Lamar Blvd, Austin, TX 78752",4.5,30.3307413,-97.72302349094264
191,Truluck's Ocean's Finest Seafood & Crab,"300 Colorado St, Ste 100, Austin, TX 78701",4.5,30.265954,-97.745301
192,Lamberts Downtown Barbecue,"401 W 2nd St, Austin, TX 78701",4.0,30.265235082587218,-97.74790507437532
193,The Cavalier ATX,"2400 Webberville Rd, Ste A, Austin, TX 78702",4.0,30.262942,-97.714676
194,BussinBuns,"1805 Airport Blvd, Austin, TX 78702",5.0,30.28154513507999,-97.702829
195,Foxy's Proper Pub,"201 Brazos St, Austin, TX 78701",4.0,30.264078,-97.742585
196,Nervous Charlie's Bagels,"5501 N Lamar Blvd, Ste B101, Austin, TX 78751",4.5,30.32317,-97.72758
197,Steamies Dumplings,"6929 Airport Blvd, Austin, TX 78752",4.5,30.33866958541661,-97.71820627429469
198,DeSano Pizzeria Napoletana,"301 Lavaca St, Ste 200, Austin, TX 78701",4.5,30.266290057218676,-97.7459750033982
199,Baldinucci Pizza Romana,"3300 Bee Caves Rd, Ste 110, West Lake Hills, TX 78746",4.5,30.275148169433592,-97.80066552075164
200,Eberly,"615 S Lamar Blvd, Austin, TX 78704",4.0,30.258668,-97.758881
