grocery_id,grocery_name,grocery_address,grocery_ratings,latitude,longitude
191,JD's Supermarket,"9111 Farm To Market 1327, Austin, TX 78719",1.0,30.1402359008789,-97.6727981567383
192,Cuban Groceries,"15424 Farm To Market Rd 1825, Ste 250, Pflugerville, TX 78660",5.0,30.44883344447064,-97.66305556276724
193,Super Mercado Mexicana,"701 Masterson Pass, Austin, TX 78753",4.0,30.370516,-97.691676
194,Viva Food Mart,"8610 N Lamar Blvd, Austin, TX 78753",1.0,30.35503,-97.7038
195,Webberville Grocery,"19111 Fm 969, Manor, TX 78653",2.5,30.22881,-97.51613
196,H-E-B,"12400 W Hwy 71, Bee Cave, TX 78738",4.0,30.304753904241608,-97.93232275688597
197,Hill Country Food Mart,"13908 W Highway 71, Austin, TX 78738",4.0,30.3095417022705,-97.9614028930664
198,Minimax Food Store,"10412 Fm 969, Austin, TX 78724",3.0,30.26353,-97.62145
199,Pleasant Valley Market,"5405 S Pleasant Valley Rd, # E, Austin, TX 78744",3.0,30.19345,-97.74415
200,TXB,"21024 Hwy 71 W, Spicewood, TX 78669",3.5,30.35217,-98.06309
201,H-E-B Pharmacy,"6607 S Ih 35, Austin, TX 78744",2.0,30.188711,-97.768688
202,H-E-B,"651 N Hwy 183, Leander, TX 78641",3.0,30.58426802719467,-97.8577989
203,Walmart Supercenter,"11923 US Hwy 290 E, Manor, TX 78653",2.5,30.347653605515553,-97.54390017433688
204,Zoe Market,"200 Main St, Buda, TX 78610",4.5,30.08198476027864,-97.84304207991414
205,Randalls,"9911 Brodie Ln, Austin, TX 78748",3.0,30.18407805382066,-97.84757407807112
206,JD's Super Market #12,"6759 FM 535, Cedar Creek, TX 78612",1.0,30.14016,-97.56724
207,H-E-B,"7112 Ed Bluestein Blvd, Austin, TX 78723",2.0,30.312379601321357,-97.66523975515224
208,All Star Grocery,"4619 S Congress Ave, Ste I, Austin, TX 78745",1.0,30.21522,-97.76809
209,Los Amigos Meat Market,"15812 Windermere Dr, Pflugerville, TX 78660",4.5,30.4475727081299,-97.6491012573242
210,Taj Grocery,"1601 S Interstate 35, Ste 310, Round Rock, TX 78664",3.5,30.495260259996375,-97.67689811348976
211,H-E-B,"1010 W University Ave, Georgetown, TX 78628",3.0,30.63566552774988,-97.6949850728694
212,Al's Food Mart,"3503 Webberville Rd, Austin, TX 78702",3.0,30.27034,-97.70583
213,La Hacienda Market,"1812 Payton Gin Rd, Austin, TX 78758",3.5,30.36621,-97.71707
214,Creedmoor Country Grocery,"12510 F M 1625, Austin, TX 73301",3.0,30.0862580537796,-97.7350247651339
215,Teri Food Mart,"2008 Teri Rd, Austin, TX 78744",5.0,30.2025241851807,-97.7523422241211
216,Fuel Food & More,"4415 Manchaca Rd, Austin, TX 78745",1.5,30.2283763885498,-97.7888717651367
217,H-E-B,"603 Louis Henna Blvd, Bldg A, Round Rock, TX 78664",3.5,30.4807934,-97.659244
218,Hutto Food Mart,"206 Highway 79, Hutto, TX 78634",5.0,30.54318,-97.54794
