school_id,school_name,school_address,school_ratings,latitude,longitude,zipcode
59,Southwestern University,"1001 E University Ave, Georgetown, TX 78626",4.5,30.63671893,-97.66258787,78626
60,Vandegrift High School,"9600 McNeil Dr, Austin, TX 78750",3.5,30.3982805,-97.8248104,78750
61,Austin Community College - Northridge Campus,"11928 Stonehollow Dr, Austin, TX 78758",2.5,30.403657,-97.704661,78758
62,Girlstart,"1400 W Anderson Ln, Austin, TX 78757",5,30.35126877,-97.71975708,78757
63,Capitol School of Austin,"2011 W Koenig Ln, Austin, TX 78756",4.5,30.33415,-97.73893,78756
64,Fulmore Middle School,"201 E Mary St, Austin, TX 78704",3.5,30.243927,-97.75046539,78704
65,Travis High School,"1211 E Oltorf St, Austin, TX 78704",4,30.232973,-97.744186,78704
66,Sterling Classical School,"12800 Angel Side Dr, Leander, TX 78641",3.5,30.519945,-97.90472,78641
67,Clint Small Middle School,"4801 Monterey Oaks Blvd, Austin, TX 78749",5,30.234029,-97.841645,78749
68,Strickland Christian School,"7415 Manchaca Rd, Austin, TX 78745",4,30.196192,-97.808749,78745
69,Access College America,"Austin, TX 78739",5,30.1859258,-97.90482,78739
70,Gus Garcia Middle School,"7414 Johnny Morris Rd, Austin, TX 78724",1.5,30.31132433,-97.64308333,78724
71,School In The Hills,"2900 N Quinlan Park Rd, Austin, TX 78732",4,30.369238,-97.893551,78732
72,Austin STEM Academy,"3701 Kerbey Ln, Austin, TX 78731",3.5,30.30754475,-97.75041729,78731
73,Lamar Middle School Choir,"6201 Wynona Ave, Austin, TX 78757",1.5,30.33759119,-97.74079619,78757
74,Aston International Academy,"5205 Airport Blvd, Ste 200, Austin, TX 78702",5,30.31346,-97.71479,78702
75,Ballet Arts of Austin,"2007 W Anderson Ln, Austin, TX 78757",4.5,30.35417038,-97.7278616,78757
76,Kids With Pens,"1211 Maple Ave, Austin, TX 78702",5,30.2752085,-97.715124,78702
77,Shepherd of the Hills Presbyterian Church Preschool,"5226 W William Cannon Dr, Austin, TX 78749",5,30.22499,-97.85299,78749
78,William's Community School,"5209 Duval Rd, Austin, TX 78727",5,30.41672286,-97.74167701,78727
