park_id,park_name,park_address,park_ratings,zipcode,latitude,longitude
310,Brush Square Triangle,"4621 Lake View, Austin, TX 78731",2.0,78731,30.3322194,-97.7667647
311,Highland Park Linear Park,"Badlands Dr, Pflugerville, TX 78660",3.0,78660,30.4660293,-97.6109089
312,Old Stage Park - Anderson Mill Limited District,"12819 Hymeadow Dr, Austin, TX 78729",1.5,78729,30.4611809565898,-97.7877829292914
313,Mountain View Park,"9000 Middlebie Dr, Austin, TX 78750",5.0,78750,30.4306801335874,-97.7915403758013
314,Bark Park,"19417 Murchison Ridge Trl, Pflugerville, TX 78660",2.5,78660,30.4728200286627,-97.585241496563
315,Oak View Park,"10800 Oak View Dr, Austin, TX 78759",5.0,78759,30.4178773,-97.7710476
316,Yett Creek Park,"12520 Riata Vista Cir, Austin, TX 78727",3.0,78727,30.4301756992629,-97.7327746079346
317,Mountain Creek Park,"1108 S 10th St, Pflugerville, TX 78660",3.0,78660,30.431803263897283,-97.633957471655
318,1849 Park,"16430 Cameron Rd, Pflugerville, TX 78660",4.5,78660,30.411850294911368,-97.55584200239822
319,Kensington  Park,"1891 Oxford St, Round Rock, TX 78664",4.5,78664,30.493170146585,-97.6669298484921
320,Mesa village park,"1403 N Georgetown St, Round Rock, TX 78664",4.0,78664,30.52182283936351,-97.67107221076176
321,Davis Spring,"14814 Thatcher Dr, Austin, TX 78717",4.5,78717,30.4888192708096,-97.7679490723663
322,Central Park,"18720 Falcon Pointe Blvd, Pflugerville, TX 78660",4.5,78660,30.45997224172613,-97.5864945866666
323,Willow Bend Dog Park,"2801 Sauls Dr, Austin, TX 78728",4.5,78728,30.45525193869348,-97.6805839
324,Shadow Brook park,"Round Rock, TX 78681",3.0,78681,30.49255262197833,-97.70439207642764
325,Doghouse Drinkery Dog Park,"3800 County Rd 175, Leander, TX 78641",4.5,78641,30.551958,-97.765327
326,Lakeline Village Pud Park,"902 S Lakeline Blvd, Cedar Park, TX 78613",5.0,78613,30.492447332091427,-97.81511019357504
327,Joslin Park,"Austin, TX 78745",4.5,78745,30.2070636749268,-97.7970275878906
328,Greenlawn park,"211 Greenlawn Blvd, Round Rock, TX 78664",3.0,78664,30.5085739259107,-97.6616889025921
329,Morris Memorial park,"802 N Avenue C, Elgin, TX 78621",4.0,78621,30.35041932893917,-97.37698080204903
330,HYSA Riverwalk Fields,"1 Riverwalk Dr, Hutto, TX 78634",4.0,78634,30.52584809999999,-97.5650512
331,Moose Park,"1218 Settlers Valley Dr, Pflugerville, TX 78660",4.0,78660,30.44057711,-97.63447572
332,Work and Woof,"4930 S Congress, Bldg A, Austin, TX 78745",4.5,78745,30.2127493,-97.77155160796823
333,Bauerle Ranch at Slaughter Creek Greenbelt,"2700 Lynnbrook Dr, Austin, TX 78748",4.0,78748,30.16844863781658,-97.83926166441768
334,Rosemary Denny Park,"2400 E Riviera Dr, Cedar Park, TX 78613",3.5,78613,30.4785749859288,-97.8123986780129
335,East View RV Ranch,"552 Eastview Dr, Georgetown, TX 78626",5.0,78626,30.65213,-97.62422
336,Presidential Glen Playground and Gazebo Rules,"19513 Smith Gin St, Manor, TX 78653",3.0,78653,30.35462441846416,-97.51110344342842
337,Royal Pointe Park,"18712 Candace Lp, Pflugerville, TX 78660",3.0,78660,30.47837999999997,-97.62340390719996
338,MUTTS Canine Cantina® - Austin,"9825 N Lake Creek Pkwy, Austin, TX 78717",4.5,78717,30.472930437584143,-97.79261024342782
339,Falcon Pointe Public Park,"2809 Barley Field Pass, Pflugerville, TX 78660",3.0,78660,30.460415944611302,-97.5809102309993
340,Silverado Ranch Park,"2210 Kasdan Pass, Cedar Park, TX 78613",5.0,78613,30.52253326981096,-97.79170523910533
341,Forest North neighborhood park,"13320 Lyndhurst St, Austin, TX 78729",4.0,78729,30.46815787685862,-97.78337838332422
342,Paggi Square,"2101 Robert Browning, Austin, TX 78723",4.5,78723,30.3007713,-97.7074924
343,Hutto Community Park,"514 S Pauley Dr, Hutto, TX 78634",4.0,78634,30.53267924756132,-97.55522793440002
344,Veteran's Park,"Ranch Rd 1431 & Ridgeway St, Jonestown, TX 78645",4.0,78645,30.4955,-97.92434
345,Crestland Triangle,"700 W Crestland Dr, Austin, TX 78752",2.0,78752,30.34161678909516,-97.7153226088979
346,Oakmont Forest Park,"1414 Colby Ln, Cedar Park, TX 78613",4.0,78613,30.50181694778188,-97.8419253256256
347,Georgetown Park & Recreation,"1101 N College St, Georgetown, TX 78626",4.5,78626,30.6505,-97.66467
348,Dayna Lawson Park,"1704 Continental Pass, Cedar Park, TX 78613",3.0,78613,30.51707783655263,-97.85395266666669
349,Park Central,"12400 N Ih 35, Austin, TX 78753",3.5,78753,30.4021650800823,-97.6761281490326
350,North Park,"1407 Suzi Ln, Pflugerville, TX 78660",3.0,78660,30.45848979697514,-97.65337660803398
351,Ricky Guerrero Park,"2006 South 6th St, Austin, TX 78704",4.0,78704,30.2474714713213,-97.7643228084366
352,Quest village park,"614 Stallion Dr, Cedar Park, TX 78613",4.0,78613,30.51957724788425,-97.82001120420752
353,Texas Parks & Wildlife,"4200 Smith School Rd, Austin, TX 78744",4.0,78744,30.1968321204185,-97.7139808237553
354,Zola Park,"17403 Zola Ln, Round Rock, TX 78664",3.0,78664,30.47513266996494,-97.65373288221036
355,Mary Elizabeth Branch Park,"2006 Philomena St, Austin, TX 78723",5.0,78723,30.30018,-97.70265
356,Gaines Creek Park,"4801 Republic Of Texas Blvd, Austin, TX 78735",2.5,78735,30.2495790299014,-97.8421663423475
357,Butler Pitch & Putt,"201 Lee Barton Dr, Austin, TX 78704",4.0,78704,30.2631999198181,-97.7565364123423
358,Heron Hollow Pocket park,"801 Payton Gin Rd, Austin, TX 78758",2.0,78758,30.357918239197566,-97.700734351542
359,Mueller Dog Park,"2201 Aldrich St, Austin, TX 78723",2.5,78723,30.3011627309129,-97.702842473466
360,Round Rock Dog Depot,"800 Deerfoot Dr, Round Rock, TX 78683",3.5,78683,30.5100754241534,-97.6656810492592
361,Plaza Saltillo,"412 Comal St, Austin, TX 78702",4.0,78702,30.2619933024971,-97.7274477626281
362,Veteran's Memorial Park,"2525 W New Hope Dr, Cedar Park, TX 78613",4.5,78613,30.5212002,-97.868988
363,Silk Oak Park Community Garden,"3204 Silk Oak Dr, Austin, TX 78748",3.0,78748,30.185925708951466,-97.839845049249
364,Rivery Park  & Disc Golf Course,"Georgetown, TX 78628",4.5,78628,30.6395797729492,-97.7498016357422
365,Oakwood Glen park,"2600 Oakwood Glen Dr, Cedar Park, TX 78613",3.0,78613,30.47126,-97.83153
366,Margret Hoffman Oaks Park,"100 S 1st St, Austin, TX 78704",3.0,78704,30.2640074068739,-97.7475795976001
367,Lake Forest Park,"3590 Gattis School Rd, Round Rock, TX 78664",3.0,78664,30.49688111512007,-97.62057100301476
